,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_fraction,param_bagging_freq,param_boosting_type,param_learning_rate,param_max_depth,param_metric,param_n_estimators,param_objective,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.2180816173553466,0.06668243568228385,0.008796930313110352,0.0007500514661609798,0.9849645832861902,31,dart,0.06478860848643778,5,rmse,414,regression_l1,"OrderedDict([('bagging_fraction', 0.9849645832861902), ('bagging_freq', 31), ('boosting_type', 'dart'), ('learning_rate', 0.06478860848643778), ('max_depth', 5), ('metric', 'rmse'), ('n_estimators', 414), ('objective', 'regression_l1')])",-4.249504889398495,-3.788162576526376,-3.69935228401315,-3.5016277689074347,-5.580454472144065,-4.163820398197904,0.7496055546567895,49
1,0.55619797706604,0.3316014781861018,0.008002424240112304,0.0012655817794212884,0.8844846828738838,15,rf,0.06995855972951646,4,rmse,416,regression_l2,"OrderedDict([('bagging_fraction', 0.8844846828738838), ('bagging_freq', 15), ('boosting_type', 'rf'), ('learning_rate', 0.06995855972951646), ('max_depth', 4), ('metric', 'rmse'), ('n_estimators', 416), ('objective', 'regression_l2')])",0.7385355651332459,0.6528990507519934,0.7162012304615633,0.5801783882434179,0.7172649609519752,0.6810158391084391,0.057998749582220455,34
2,0.5529444694519043,0.36660870453176014,0.013204526901245118,0.006795787285988199,0.7699536669323117,39,gbdt,0.021934869943034764,1,rmse,932,regression_l1,"OrderedDict([('bagging_fraction', 0.7699536669323117), ('bagging_freq', 39), ('boosting_type', 'gbdt'), ('learning_rate', 0.021934869943034764), ('max_depth', 1), ('metric', 'rmse'), ('n_estimators', 932), ('objective', 'regression_l1')])",0.7771228580357227,0.6718130032810381,0.7424579207810433,0.6711586033463557,0.7561188808444224,0.7237342532577165,0.04406744402013477,23
3,4.953670692443848,0.8337106900633593,0.0240602970123291,0.011085799622270435,0.8669044774084422,19,dart,0.016167112932941676,5,rmse,970,regression_l2,"OrderedDict([('bagging_fraction', 0.8669044774084422), ('bagging_freq', 19), ('boosting_type', 'dart'), ('learning_rate', 0.016167112932941676), ('max_depth', 5), ('metric', 'rmse'), ('n_estimators', 970), ('objective', 'regression_l2')])",0.7537092141035806,0.6942912329954614,0.7161347234440574,0.6595766235577473,0.7203838426277058,0.7088191273457105,0.031107119341129752,26
4,1.9301846504211426,0.42585277204476024,0.017433929443359374,0.009261731282856756,0.5899125275926476,5,dart,0.018775594085074197,6,rmse,488,regression_l1,"OrderedDict([('bagging_fraction', 0.5899125275926476), ('bagging_freq', 5), ('boosting_type', 'dart'), ('learning_rate', 0.018775594085074197), ('max_depth', 6), ('metric', 'rmse'), ('n_estimators', 488), ('objective', 'regression_l1')])",-4.423107562920592,-3.920236513570649,-3.9030894968344674,-3.6586385858553703,-5.742514189663198,-4.329517269768855,0.7489658243279962,50
5,0.4771270275115967,0.12470009180740897,0.011375141143798829,0.0004301989165580776,0.6512905677322479,20,gbdt,0.08175164546033246,9,rmse,323,regression_l1,"OrderedDict([('bagging_fraction', 0.6512905677322479), ('bagging_freq', 20), ('boosting_type', 'gbdt'), ('learning_rate', 0.08175164546033246), ('max_depth', 9), ('metric', 'rmse'), ('n_estimators', 323), ('objective', 'regression_l1')])",0.7997024112774137,0.715878333204432,0.7899053592744796,0.7203815906145816,0.8065817705361765,0.7664898929814168,0.03986532229735549,2
6,0.3050983428955078,0.009126227289460187,0.009038496017456054,0.0009426309191103018,0.535706680186459,8,rf,0.027230102137439444,2,rmse,970,regression_l1,"OrderedDict([('bagging_fraction', 0.535706680186459), ('bagging_freq', 8), ('boosting_type', 'rf'), ('learning_rate', 0.027230102137439444), ('max_depth', 2), ('metric', 'rmse'), ('n_estimators', 970), ('objective', 'regression_l1')])",0.39892940859655046,0.3919338220124782,0.3911906879754238,0.3596551681099479,0.4986708265911981,0.4080759826571196,0.04728920251529354,42
7,1.0007976055145265,0.04959700512185955,0.029722833633422853,0.01513199155473964,0.8209704304986717,20,gbdt,0.04204102560413462,8,rmse,937,regression_l2,"OrderedDict([('bagging_fraction', 0.8209704304986717), ('bagging_freq', 20), ('boosting_type', 'gbdt'), ('learning_rate', 0.04204102560413462), ('max_depth', 8), ('metric', 'rmse'), ('n_estimators', 937), ('objective', 'regression_l2')])",0.7397356352016615,0.6335053843583169,0.7690429801236985,0.6614691689484373,0.7022647282474856,0.7012035793759199,0.0494972698995903,28
8,0.7526705265045166,0.016352231270301228,0.00963296890258789,0.0011863530792426411,0.987770172709569,11,rf,0.08548458665451382,7,rmse,488,regression,"OrderedDict([('bagging_fraction', 0.987770172709569), ('bagging_freq', 11), ('boosting_type', 'rf'), ('learning_rate', 0.08548458665451382), ('max_depth', 7), ('metric', 'rmse'), ('n_estimators', 488), ('objective', 'regression')])",0.7576174148399534,0.6596668783864263,0.7397691274566682,0.6134826331173118,0.7084885324694988,0.6958049172539716,0.0529101635797294,30
9,1.13154296875,0.133305278040505,0.009403419494628907,0.0015003388159663938,0.9499360068961809,34,dart,0.028616217350248555,2,rmse,822,regression_l2,"OrderedDict([('bagging_fraction', 0.9499360068961809), ('bagging_freq', 34), ('boosting_type', 'dart'), ('learning_rate', 0.028616217350248555), ('max_depth', 2), ('metric', 'rmse'), ('n_estimators', 822), ('objective', 'regression_l2')])",0.7612139281193114,0.6842466314243932,0.7367195882950597,0.6919988392719063,0.7603389296532417,0.7269035833527824,0.032952792902662724,22
